id,title,body,category,priority
538,Errore durante la chiusura contabile,Richiedo dettagli sulla procedura di nota spese.,Amministrazione,bassa
539,Richiesta duplicato documento fiscale,Vorrei informazioni su bonifico.,Amministrazione,bassa
540,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
541,Installazione stampante su postazione,Serve il setup di stampante sul PC assegnato,Tecnico,media
542,Richiesta supporto su rimborso spese,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
543,Problema vpn,"Non si collega alla vpn, possibile timeout.",Tecnico,media
544,Schermo nero all'avvio del PC,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,alta
545,Verifica aggiornamento dati anagrafici,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
546,Report vendite non aggiornato,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
547,Dashboard vendite con valori incoerenti,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
548,Informazioni su portale vendite,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
549,Impossibile stampare su stampante,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
550,Dashboard vendite con valori incoerenti,Richiedo un'offerta per portale vendite.,Commerciale,media
551,Problema connessione,"Non si collega alla connessione, possibile timeout.",Tecnico,media
552,Problema vpn,"Non si collega alla vpn, possibile timeout.",Tecnico,media
553,Report vendite non aggiornato,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,media
554,Errore durante la chiusura contabile,Richiedo dettagli sulla procedura di anagrafica.,Amministrazione,bassa
555,Dettagli per dati fatturazione,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
556,Schermo nero all'avvio del PC,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
557,Blocco stampa documenti fiscali,La stampante dell'ufficio amministrazione non risponde; dobbiamo stampare documenti contabili per scadenza fiscale,Tecnico,media
558,Verifica aggiornamento dati anagrafici,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
559,Anomalia statistiche di vendita,Vorrei sapere se è disponibile statistiche di vendita.,Commerciale,bassa
560,Il PC non dà segni di vita,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
561,Richiesta duplicato documento fiscale,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
562,Impossibile stampare documenti contabili oggi,Driver di stampa non installato; impossibile stampare.,Tecnico,media
563,Dati di fatturazione non aggiornati,Richiedo dettagli sulla procedura di documenti contabili.,Amministrazione,bassa
564,La postazione non si avvia,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
565,Schermo nero all'avvio del PC,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,alta
566,Problema timeout,"Non si collega alla timeout, possibile timeout.",Tecnico,media
567,Verifica aggiornamento dati anagrafici,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
568,Richiesta permessi aggiuntivi su portale vendite,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
569,Errore applicativo: schermata blu,Si verifica schermata blu durante l'avvio.,Tecnico,media
570,stampante non risponde,Serve il setup di stampante sul PC assegnato,Tecnico,media
571,Informazioni su estratto conto,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
572,Mancata consegna materiale,Il corriere non ha ancora consegnato il materiale come da accordi.,Commerciale,media
573,Richiesta supporto su rimborso spese,Richiedo duplicato fattura per reinvio al fornitore Urgente.,Amministrazione,media
574,Problema nella chiusura fiscale mensile,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
575,Mancata consegna merce,"Il merce ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
576,Verifica aggiornamento dati anagrafici,Non è urgente: chiarimenti su estratto conto.,Amministrazione,bassa
577,La postazione non si avvia,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
578,La postazione non si avvia,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
579,Anomalia statistiche di vendita,Richiedo un'offerta per preventivo.,Commerciale,bassa
580,Dati di fatturazione non aggiornati,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
581,Schermo nero all'avvio del PC,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,alta
582,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
583,Prodotto non consegnato nei tempi previsti,Tempi di consegna superati per l'ordine materiale.,Commerciale,media
584,Richiesta listino aggiornato,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,bassa
585,Copia documento contabile,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
586,Tracking spedizione non aggiornato,Il corriere non ha ancora consegnato il componentistica come da accordi.,Commerciale,media
587,Impossibile stampare documenti contabili oggi,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
588,Verifica aggiornamento dati anagrafici,Non è urgente: chiarimenti su documenti contabili.,Amministrazione,bassa
589,Dati di fatturazione non aggiornati,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
590,Dashboard vendite con valori incoerenti,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
591,Impossibile stampare su stampante,Driver di stampa non installato; impossibile stampare.,Tecnico,media
592,Il PC non dà segni di vita,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,media
593,Verifica aggiornamento dati anagrafici,Non è urgente: chiarimenti su pagamento.,Amministrazione,bassa
594,Problema nella chiusura fiscale mensile,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
595,Il PC non dà segni di vita,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,media
596,Richiesta duplicato documento fiscale,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
597,Richiesta installazione stampante,Driver di stampa non installato; impossibile stampare.,Tecnico,media
598,Richiesta supporto su documenti contabili,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
599,Errore durante stampare con stampante,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
600,Configurazione stampante sulla mia postazione,Serve il setup di stampante sul PC assegnato,Tecnico,media
601,Richiesta duplicato documento fiscale,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
602,Installazione stampante su postazione,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
603,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
604,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
605,Dati di fatturazione non aggiornati,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
606,Informazioni su nota spese,Richiedo duplicato fattura per reinvio al fornitore Urgente.,Amministrazione,media
607,Richiesta installazione stampante,La stampante dell'ufficio amministrazione non risponde; dobbiamo stampare documenti contabili per scadenza fiscale,Tecnico,media
608,Richiesta duplicato documento fiscale,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
609,Errore applicativo: software gestionale,Si verifica software gestionale durante l'avvio.,Tecnico,media
610,Copia documento contabile,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
611,Richiesta supporto su dati di fatturazione,Vorrei informazioni su dati di fatturazione.,Amministrazione,bassa
612,Errore durante la chiusura contabile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
613,Copia documento contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
614,Tracking spedizione non aggiornato,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
615,Dettagli per rimborso spese,Richiedo dettagli sulla procedura di rimborso spese.,Amministrazione,bassa
616,Documenti di offerta,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
617,Prodotto non consegnato nei tempi previsti,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
618,Informazioni su statistiche di vendita,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
619,Dettagli per documenti fiscali,Non è urgente: chiarimenti su documenti fiscali.,Amministrazione,bassa
620,Richiesta supporto su dati fatturazione,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
621,Richiesta duplicato documento fiscale,Non è urgente: chiarimenti su dati anagrafici.,Amministrazione,bassa
622,Errore durante stampare con stampante,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
623,Richiesta installazione stampante,La stampante dell'ufficio amministrazione non risponde; dobbiamo stampare documenti contabili per scadenza fiscale,Tecnico,media
624,Ritardo consegna,Tempi di consegna superati per l'ordine materiale.,Commerciale,media
625,Richiesta listino aggiornato,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
626,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
627,Documenti di offerta,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
628,Anomalia statistiche di vendita,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
629,Ritardo consegna,Tempi di consegna superati per l'ordine merce.,Commerciale,media
630,Errore durante la chiusura contabile,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
631,Errore applicativo: non si avvia,Si verifica non si avvia durante l'avvio.,Tecnico,media
632,Documenti di offerta,Richiedo un'offerta per kpi vendite.,Commerciale,bassa
633,Informazioni su dati di fatturazione,Vorrei informazioni su dati di fatturazione.,Amministrazione,bassa
634,Dati di fatturazione non aggiornati,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
635,Informazioni su pagamento,Richiedo dettagli sulla procedura di pagamento.,Amministrazione,bassa
636,Problema connessione,"Non si collega alla connessione, possibile timeout.",Tecnico,media
637,Installazione stampante su postazione,Driver di stampa non installato; impossibile stampare.,Tecnico,media
638,Il PC non dà segni di vita,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
639,Il PC non dà segni di vita,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,media
640,Problema dns,"Non si collega alla dns, possibile timeout.",Tecnico,media
641,Problema nella chiusura fiscale mensile,Vorrei informazioni su dati fatturazione.,Amministrazione,bassa
642,Dati di fatturazione non aggiornati,Vorrei informazioni su anagrafica.,Amministrazione,bassa
643,Problema proxy,"Non si collega alla proxy, possibile timeout.",Tecnico,media
644,Dettagli per dati anagrafici,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
645,Documenti di offerta,Vorrei sapere se è disponibile report vendite.,Commerciale,bassa
646,Verifica aggiornamento dati anagrafici,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
647,Problema proxy,"Non si collega alla proxy, possibile timeout.",Tecnico,media
648,Dati di fatturazione non aggiornati,Non è urgente: chiarimenti su rimborso spese.,Amministrazione,bassa
649,Errore durante la chiusura contabile,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
650,Copia documento contabile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
651,Documenti di offerta,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
652,Richiesta duplicato documento fiscale,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
653,Informazioni su scadenza fiscale,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
654,Documenti di offerta,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
655,Dati di fatturazione non aggiornati,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
656,Impossibile stampare su stampante,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
657,Problema nella chiusura fiscale mensile,Non è urgente: chiarimenti su dati di fatturazione.,Amministrazione,bassa
658,Documenti di offerta,Serve il listino aggiornato per una proposta commerciale,Commerciale,bassa
659,Dashboard vendite con valori incoerenti,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
660,Richiesta statistiche di vendita,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
661,Schermo nero all'avvio del PC,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
662,Copia documento contabile,Richiedo dettagli sulla procedura di anagrafica.,Amministrazione,bassa
663,Richiesta supporto su dati di fatturazione,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
664,Dettagli per scadenza fiscale,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
665,Schermo nero all'avvio del PC,Il computer della mia postazione non si accende più.,Tecnico,alta
666,Schermo nero all'avvio del PC,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,alta
667,Errore applicativo: non si avvia,Si verifica non si avvia durante l'avvio.,Tecnico,media
668,La postazione non si avvia,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,media
669,Report vendite non aggiornato,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,media
670,Dati di fatturazione non aggiornati,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
671,Dettagli per anagrafica,Non è urgente: chiarimenti su anagrafica.,Amministrazione,bassa
672,Configurazione stampante sulla mia postazione,Coda di stampa bloccata; necessità immediata di stampare.,Tecnico,media
673,Informazioni su kpi vendite,Richiedo un'offerta per kpi vendite.,Commerciale,bassa
674,Dettagli per iban,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
675,Configurazione stampante sulla mia postazione,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
676,Problema wifi,"Non si collega alla wifi, possibile timeout.",Tecnico,media
677,Verifica aggiornamento dati anagrafici,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
678,PC non si accende,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,alta
679,Dati di fatturazione non aggiornati,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
680,Dettagli per rimborso spese,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
681,Problema vpn,"Non si collega alla vpn, possibile timeout.",Tecnico,media
682,Il computer non parte all'accensione,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
683,Dettagli per anagrafica,Richiedo dettagli sulla procedura di anagrafica.,Amministrazione,bassa
684,Informazioni su documenti contabili,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione Urgente.,Amministrazione,media
685,Dettagli per documenti fiscali,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
686,PC non si accende,Il PC non si accende; cavo e alimentazione già controllati.,Tecnico,alta
687,Errore applicativo: applicativo gestionale,Si verifica applicativo gestionale durante l'avvio.,Tecnico,media
688,stampante non risponde,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
689,Documenti di offerta,Vorrei sapere se è disponibile listino.,Commerciale,bassa
690,Schermo nero all'avvio del PC,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
691,Impossibile stampare su stampante,Serve il setup di stampante sul PC assegnato,Tecnico,media
692,Copia documento contabile,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
693,Errore durante la chiusura contabile,Vorrei informazioni su nota spese.,Amministrazione,bassa
694,Prodotto non consegnato nei tempi previsti,Il tracking della spedizione ordine #12345 non risulta aggiornato da giorni.,Commerciale,media
695,Informazioni su documenti fiscali,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
696,Schermo nero all'avvio del PC,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,alta
697,Errore applicativo: schermata blu,Si verifica schermata blu durante l'avvio.,Tecnico,media
698,Impossibile stampare documenti contabili oggi,Coda di stampa bloccata; necessità immediata di stampare.,Tecnico,media
699,Dettagli per pagamento,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
700,Richiesta duplicato documento fiscale,Vorrei informazioni su iban.,Amministrazione,bassa
701,Mancata consegna materiale,"Il materiale ordinato non è ancora arrivato, nonostante la scadenza prevista.",Commerciale,media
702,Verifica aggiornamento dati anagrafici,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
703,Richiesta supporto su scadenza fiscale,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
704,Richiesta permessi aggiuntivi su portale vendite,Avrei bisogno di permessi aggiuntivi sul portale vendite per modificare le offerte,Commerciale,bassa
705,Richiesta listino aggiornato,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
706,Informazioni su estratto conto,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
707,Dati di fatturazione non aggiornati,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
708,Copia documento contabile,Vorrei informazioni su pagamento.,Amministrazione,bassa
709,Ritardo nella spedizione del attrezzatura,Il tracking della spedizione attrezzatura non risulta aggiornato da giorni.,Commerciale,media
710,Richiesta installazione stampante,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
711,Problema nella chiusura fiscale mensile,Vorrei informazioni su scadenza fiscale.,Amministrazione,bassa
712,Errore applicativo: non si avvia,Si verifica non si avvia durante l'avvio.,Tecnico,media
713,Dati di fatturazione non aggiornati,Non è urgente: chiarimenti su bonifico. Urgente.,Amministrazione,media
714,Report vendite non aggiornato,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
715,Blocco stampa documenti fiscali,Driver di stampa non installato; impossibile stampare.,Tecnico,media
716,Dettagli per dati anagrafici,Richiedo dettagli sulla procedura di dati anagrafici.,Amministrazione,bassa
717,Dati di fatturazione non aggiornati,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
718,Problema vpn,"Non si collega alla vpn, possibile timeout.",Tecnico,media
719,Richiesta duplicato documento fiscale,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
720,Problema nella chiusura fiscale mensile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
721,Richiesta installazione stampante,Richiedo la configurazione di stampante per le nuove attività,Tecnico,media
722,Informazioni su dati fatturazione,Vorrei informazioni su dati fatturazione.,Amministrazione,bassa
723,Errore applicativo: applicativo gestionale,Si verifica applicativo gestionale durante l'avvio.,Tecnico,media
724,Richiesta report vendite,Richiedo un'offerta per report vendite.,Commerciale,bassa
725,Errore applicativo: software gestionale,Si verifica software gestionale durante l'avvio.,Tecnico,media
726,Schermo nero all'avvio del PC,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,alta
727,Problema proxy,"Non si collega alla proxy, possibile timeout.",Tecnico,media
728,Permessi per modificare condizioni economiche delle offerte,Richiedo un'offerta per preventivo.,Commerciale,bassa
729,Richiesta supporto su anagrafica,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
730,Impossibile stampare su stampante,La stampante non risponde e non riusciamo a stampare.,Tecnico,media
731,Permessi per modificare condizioni economiche delle offerte,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
732,Schermo nero all'avvio del PC,"Il monitor resta nero; nessun beep, nessun logo di avvio.",Tecnico,alta
733,Verifica aggiornamento dati anagrafici,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
734,stampante non risponde,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
735,Schermo nero all'avvio del PC,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
736,Informazioni su listino,Richiedo un'offerta per listino.,Commerciale,bassa
737,Mancata consegna componentistica,Tempi di consegna superati per l'ordine componentistica.,Commerciale,media
738,Informazioni su bonifico,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
739,Richiesta permessi aggiuntivi su portale vendite,Serve il listino aggiornato per una proposta commerciale,Commerciale,bassa
740,Il computer non parte all'accensione,La postazione è bloccata: non si avvia e non appare alcuna schermata.,Tecnico,media
741,Errore durante la chiusura contabile,Richiedo dettagli sulla procedura di iban.,Amministrazione,bassa
742,Ritardo consegna,Il corriere non ha ancora consegnato il merce come da accordi.,Commerciale,media
743,Dati di fatturazione non aggiornati,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
744,Dashboard vendite con valori incoerenti,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,media
745,Richiesta installazione stampante,Driver di stampa non installato; impossibile stampare.,Tecnico,media
746,Problema rete,"Non si collega alla rete, possibile timeout.",Tecnico,media
747,La postazione non si avvia,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
748,Dettagli per dati di fatturazione,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
749,Richiesta listino aggiornato,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,bassa
750,Problema nella chiusura fiscale mensile,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
751,Ritardo consegna,Il corriere non ha ancora consegnato il attrezzatura come da accordi.,Commerciale,media
752,Errore durante la chiusura contabile,Non è urgente: chiarimenti su dati di fatturazione.,Amministrazione,bassa
753,Il PC non dà segni di vita,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
754,Copia documento contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
755,Il computer non parte all'accensione,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
756,Errore durante la chiusura contabile,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
757,Problema nella chiusura fiscale mensile,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
758,Report vendite non aggiornato,Il report vendite mostra valori incoerenti rispetto ai dati reali.,Commerciale,media
759,Errore applicativo: software gestionale,Si verifica software gestionale durante l'avvio.,Tecnico,media
760,Il computer non parte all'accensione,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,media
761,Errore durante la chiusura contabile,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
762,Impossibile stampare documenti contabili oggi,Serve il setup di stampante sul PC assegnato,Tecnico,media
763,Richiesta duplicato documento fiscale,Potete controllare se la modifica ai dati di fatturazione è stata applicata nel gestionale?,Amministrazione,bassa
764,Tracking spedizione non aggiornato,Il corriere non ha ancora consegnato il componentistica come da accordi.,Commerciale,media
765,Richiesta duplicato documento fiscale,Nel gestionale sono ancora visibili i dati di fatturazione precedenti. È possibile verificare se l'aggiornamento è stato recepito?,Amministrazione,bassa
766,Errore applicativo: applicativo gestionale,Si verifica applicativo gestionale durante l'avvio.,Tecnico,media
767,Richiesta permessi aggiuntivi su portale vendite,La dashboard vendite riporta KPI non allineati ai dati del CRM.,Commerciale,media
768,Impossibile stampare documenti contabili oggi,Urgenza oggi: stampare fatture per scadenza fiscale; stampante non operativa,Tecnico,media
769,Installazione stampante su postazione,La stampante dell'ufficio amministrazione non risponde; dobbiamo stampare documenti contabili per scadenza fiscale,Tecnico,media
770,Informazioni su iban,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
771,Dettagli per dati di fatturazione,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
772,Problema nella chiusura fiscale mensile,Vorrei informazioni su estratto conto.,Amministrazione,bassa
773,Errore applicativo: non si avvia,Si verifica non si avvia durante l'avvio.,Tecnico,media
774,Informazioni su nota spese,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
775,Report vendite non aggiornato,Le statistiche di vendita mostrate nel portale non sono aggiornate.,Commerciale,media
776,Copia documento contabile,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
777,Ritardo consegna,Il corriere non ha ancora consegnato il merce come da accordi.,Commerciale,media
778,Urgenza stampare: stampante bloccato,Dobbiamo stampare documenti; la stampante è inattiva.,Tecnico,media
779,Impossibile stampare su stampante,Avrei bisogno dell'installazione di stampante sulla mia postazione,Tecnico,media
780,Richiesta supporto su nota spese,Errore critico nella chiusura fiscale: impossibile completare la procedura,Amministrazione,bassa
781,Richiesta report vendite,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
782,Ritardo nella spedizione del componentistica,Il prodotto o servizio non è stato consegnato nei tempi previsti.,Commerciale,media
783,Report vendite non aggiornato,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,media
784,Informazioni su nota spese,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
785,Richiesta duplicato documento fiscale,Richiedo duplicato fattura per reinvio al fornitore,Amministrazione,bassa
786,Dashboard vendite con valori incoerenti,Serve il listino aggiornato per una proposta commerciale,Commerciale,media
787,Copia documento contabile,Richiedo dettagli sulla procedura di dati fatturazione.,Amministrazione,bassa
788,Errore durante la chiusura contabile,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
789,Documenti di offerta,Richiesta preventivo per il cliente; necessità di ricevere i documenti,Commerciale,bassa
790,Errore applicativo: errore,Si verifica errore durante l'avvio.,Tecnico,media
791,Verifica aggiornamento dati anagrafici,Richiedo verifica aggiornamento dati di fatturazione nel gestionale: risultano ancora i precedenti.,Amministrazione,bassa
792,Verifica aggiornamento dati anagrafici,Durante la procedura di chiusura contabile mensile il sistema restituisce un errore e non permette di completare l'operazione,Amministrazione,bassa
793,Informazioni su iban,Richiedo dettagli sulla procedura di iban.,Amministrazione,bassa
794,Dettagli per scadenza fiscale,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
795,Copia documento contabile,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
796,La postazione non si avvia,Non si avvia il sistema: schermo nero e nessun segnale sul monitor.,Tecnico,alta
797,PC non si accende,Premendo il pulsante di accensione non compare alcuna schermata.,Tecnico,alta
798,Problema rete,"Non si collega alla rete, possibile timeout.",Tecnico,media
799,Il PC non dà segni di vita,"All'accensione, il PC non parte: ventole ferme, nessuna luce.",Tecnico,media
800,Errore applicativo: software gestionale abc,Si verifica software gestionale abc durante l'avvio.,Tecnico,media
801,Informazioni su nota spese,Avrei bisogno di ottenere una copia di un documento fiscale già emesso,Amministrazione,bassa
802,Problema rete,"Non si collega alla rete, possibile timeout.",Tecnico,media
